User_ID,Posts_Per_Hour,Last_Videos_Per_Day,Followers_Gain_Overnight,Avg_Followers_Per_Day,Total_Followers,Total_Following,Avg_Post_Length,Avg_Views_Per_Day,Avg_Likes_Per_Day,Avg_Comments_Per_Day,Engagement_Rate,Has_Profile_Picture,Is_Verified,Is_Private,Is_Fake
user_32,104,47,6565,566,45815,5111,70,711890,17163,2578,0.234,0,1,0,Fake
user_33,94,5,20989,397,452822,40240,281,810104,17679,3881,0.039,0,0,1,Fake
user_34,389,13,29769,975,39537,4160,251,144270,38952,1025,0.061,1,0,0,Fake
user_35,99,10,6594,738,5056,47147,92,963152,46137,1249,0.029,0,1,0,Fake
user_36,367,25,25731,954,379116,41144,222,671688,41851,3749,0.121,1,1,0,Fake
user_37,352,6,2241,694,7050,43495,459,938894,11858,2687,0.276,1,1,0,Fake
user_38,270,6,11191,294,386139,30238,339,206240,34265,3869,0.223,0,0,0,Fake
user_39,44,4,6204,879,423093,32433,421,83810,29308,4912,0.152,0,1,1,Fake
user_40,470,30,21884,960,178852,40005,27,465350,36777,2201,0.291,1,1,1,Fake
user_41,549,35,15588,547,456214,34878,25,787181,32196,447,0.221,1,0,1,Fake
user_42,127,3,22766,474,476531,32274,67,66609,22910,3727,0.147,1,1,0,Fake
user_43,387,1,22670,434,323727,25196,333,303327,41907,2193,0.011,1,1,1,Fake
user_44,80,49,15315,586,36900,35518,394,409365,30346,223,0.045,0,1,0,Fake
user_45,565,25,19653,736,81916,9824,114,782130,3263,1822,0.181,1,1,0,Fake
user_46,300,33,22689,581,305531,40870,228,76995,41055,1759,0.159,0,1,0,Fake
user_47,370,48,10850,787,328270,37656,200,862846,15264,3684,0.105,1,1,1,Fake
user_48,591,5,27918,531,456838,28604,464,647586,42110,2175,0.27,0,0,1,Fake
user_49,196,6,18953,266,241572,33148,362,600094,1091,2115,0.196,1,1,0,Fake
user_50,71,16,18549,166,330827,32586,72,355423,9259,4756,0.25,0,1,1,Fake
user_51,46,39,10998,983,457913,47090,34,764616,38643,4302,0.089,0,0,0,Fake
user_52,233,9,20188,390,173487,10086,128,255727,12856,3684,0.25,0,1,1,Fake
user_53,296,5,9818,478,412159,8486,148,604586,1180,30,0.122,0,0,0,Real
user_54,81,41,13719,763,348619,20979,480,285526,8093,4950,0.185,0,0,0,Fake
user_55,238,24,10768,946,55486,33824,161,441685,6663,1881,0.006,0,1,0,Fake
user_56,103,19,5317,243,321160,37801,165,918971,47912,2022,0.254,0,1,1,Fake
user_57,389,14,3435,135,63951,12855,496,831177,9825,4984,0.142,1,1,0,Fake
user_58,284,15,14886,929,29447,32368,139,509521,22275,872,0.211,1,0,0,Fake
user_59,464,47,28708,15,369176,49136,77,842957,41524,1873,0.105,1,0,1,Fake
user_60,373,18,25860,287,72726,2502,317,406308,864,3220,0.186,0,1,0,Fake
user_61,166,28,29836,818,104606,42159,314,428001,4181,2366,0.029,1,0,0,Fake
user_62,379,40,1382,698,481297,34874,490,138695,42188,728,0.034,1,1,0,Fake
user_63,363,8,16250,973,391152,20857,32,915175,33238,1522,0.087,1,0,0,Fake
user_64,214,8,7189,280,485785,44666,211,427237,25652,3313,0.095,1,1,1,Real
user_65,273,33,121,87,42548,34366,257,188536,40996,2461,0.294,1,1,0,Fake
user_66,73,10,20931,255,97294,42,150,260253,2367,580,0.246,1,1,1,Fake
user_67,175,1,7308,789,48079,26122,350,342587,32335,35,0.013,0,0,1,Real
user_68,546,2,22715,555,376572,42175,185,737277,18037,3156,0.283,0,0,1,Fake
user_69,250,42,7545,302,498803,12205,498,795810,11201,138,0.002,0,1,1,Fake
user_70,167,22,15287,345,48017,44717,226,604208,37461,1836,0.145,0,1,1,Fake
user_71,473,20,20444,584,2013,40973,296,394187,49429,1374,0.219,0,1,0,Fake
user_72,388,30,6984,404,227000,15563,472,967677,1504,3494,0.223,1,0,0,Fake
user_73,276,29,7832,39,415022,24161,485,2910,26312,3693,0.11,0,0,0,Fake
user_74,570,34,15753,630,359452,3399,215,380949,43356,2872,0.066,0,0,1,Fake
user_75,224,17,24070,280,122198,45580,429,243363,42148,1914,0.128,1,1,1,Fake
user_76,332,35,25177,370,110215,17650,479,14270,39369,535,0.003,0,0,0,Fake
user_77,57,28,26694,275,26213,1959,201,144564,22585,4559,0.225,1,1,0,Fake
user_78,234,8,10863,675,375903,43487,94,785425,9780,372,0.269,0,0,1,Fake
user_79,32,44,26452,256,41634,23616,164,403038,11872,2848,0.294,1,1,0,Fake
user_80,323,34,24250,801,202847,49516,491,77251,10620,4005,0.033,0,0,0,Fake
user_81,410,11,12317,668,167984,25569,29,775802,14880,3248,0.165,0,0,0,Fake
user_82,274,37,6727,829,327916,24965,203,560590,12388,1977,0.137,1,0,0,Fake
user_83,67,38,13117,790,277523,47689,82,315838,26743,717,0.102,1,1,0,Fake
user_84,216,29,6037,622,100998,40602,413,17242,39631,296,0.281,1,1,1,Fake
user_85,580,40,27069,12,249584,21749,408,136042,13816,665,0.247,1,0,0,Fake
user_86,322,47,220,127,428632,44932,74,392136,7803,219,0.033,0,0,1,Fake
user_87,217,40,11888,314,103441,29926,69,509777,41549,4373,0.3,0,1,1,Fake
user_88,511,36,324,582,371320,37302,175,852444,36752,4936,0.072,1,0,1,Fake
user_89,405,27,2416,676,259680,2511,476,582509,1027,3326,0.25,0,0,1,Fake
user_90,469,33,11727,328,317434,2007,186,951284,25194,2722,0.013,0,0,1,Fake
user_91,146,40,983,856,370290,44106,322,470207,11019,2419,0.074,1,1,0,Fake
user_92,271,40,18176,270,97551,8180,315,6226,2742,3334,0.183,0,0,1,Fake
user_93,142,34,3774,867,246001,11004,233,226578,893,775,0.133,0,1,0,Fake
user_94,252,19,4666,183,151028,18323,456,950900,32668,1357,0.075,0,1,0,Fake
user_95,574,22,9521,454,383550,35505,254,407121,41873,2638,0.026,0,0,0,Fake
user_96,551,30,14431,473,354502,11528,80,542047,12816,1850,0.124,1,0,0,Fake
user_97,269,34,6370,17,310279,48920,171,420777,1298,3245,0.123,0,1,1,Fake
user_98,598,14,20687,450,453513,22454,487,50770,8919,306,0.119,1,0,0,Fake
user_99,438,5,19191,9,451358,24545,227,346705,17149,3182,0.013,1,1,0,Fake
user_100,597,28,29907,477,32121,17584,403,973211,11322,2364,0.066,1,1,0,Fake
user_101,408,19,25084,37,232006,16463,101,852073,25224,174,0.121,1,1,0,Fake
user_102,370,23,11793,989,96955,11963,104,54351,42677,503,0.271,0,0,1,Fake
user_103,224,26,1438,367,266120,34313,490,412479,46568,2301,0.29,1,0,1,Fake
user_104,141,16,972,491,3310,25767,447,247992,27752,3611,0.102,1,1,1,Real
user_105,521,9,6524,653,41711,30191,102,43547,9102,2380,0.007,1,0,1,Fake
user_106,505,19,6482,864,92196,38901,73,415473,17010,4268,0.229,1,1,0,Fake
user_107,93,0,9309,569,103662,25825,321,415036,45989,3276,0.075,1,0,0,Real
user_108,48,0,5706,223,138024,12852,14,250301,37631,3800,0.098,1,1,0,Real
user_109,112,33,7174,418,75441,9198,179,455053,29571,4910,0.102,0,0,1,Fake
user_110,156,48,29012,59,460417,23135,130,869515,23821,2460,0.126,0,0,1,Fake
user_111,163,8,8585,593,284163,40067,120,8769,15677,4599,0.282,0,0,1,Real
user_112,432,22,23554,961,301693,19278,487,388984,30773,3101,0.268,1,0,1,Fake
user_113,65,18,5710,81,99271,12169,335,46154,48154,4783,0.202,0,0,1,Real
user_114,394,30,11135,283,366984,41831,341,135544,41619,4250,0.122,0,1,1,Fake
user_115,390,34,27772,918,65017,16162,347,766439,18892,4840,0.267,0,0,0,Fake
user_116,479,0,18170,624,368505,41546,160,556690,1630,2225,0.224,1,0,1,Fake
user_117,541,44,8059,564,399332,8722,235,930191,45697,4167,0.043,1,1,1,Fake
user_118,257,31,5850,321,39730,44795,416,672211,21406,2067,0.217,1,1,1,Fake
user_119,566,48,6422,976,98670,34911,25,91991,32428,4233,0.034,0,1,0,Fake
user_120,11,30,704,65,98067,48454,142,678407,45244,568,0.002,0,0,0,Fake
user_121,117,19,5769,451,444919,37752,265,664049,6030,3828,0.288,1,1,1,Real
user_122,549,0,27619,184,168509,17645,167,449770,42074,99,0.271,0,0,1,Fake
user_123,273,49,8578,264,396511,25649,255,278902,49980,2018,0.254,0,0,1,Fake
user_124,348,27,29840,784,119388,14561,471,878098,18159,3320,0.275,1,1,1,Fake
user_125,114,18,3315,805,85156,12751,209,8403,19993,872,0.277,1,1,0,Fake
user_126,300,38,687,282,206919,35794,165,654148,25626,207,0.165,1,1,0,Fake
user_127,445,14,27244,265,333078,37525,287,571493,43472,438,0.013,0,1,1,Fake
user_128,161,50,22198,889,438325,6756,157,616319,39161,3735,0.174,0,1,1,Fake
user_129,464,0,4497,506,310540,22294,360,126545,24083,3838,0.096,1,1,1,Fake
user_130,3,35,12416,130,155566,26535,412,11480,26739,32,0.287,1,1,0,Fake
user_131,269,23,21458,232,315387,10775,176,901336,44452,588,0.232,1,1,1,Fake
user_132,512,12,25801,645,216154,17087,200,226865,32508,3641,0.291,0,1,0,Fake
user_133,182,26,29000,178,265632,5217,315,615138,16758,3983,0.025,1,0,1,Fake
user_134,519,35,3636,150,335856,44857,124,45929,3257,1817,0.157,1,0,1,Fake
user_135,108,27,11088,892,149633,44599,317,621139,47209,3936,0.255,1,0,1,Fake
user_136,305,25,6889,632,114430,21487,233,124010,24931,2565,0.136,1,0,0,Fake
user_137,519,15,9996,671,223621,12229,177,172919,35569,4703,0.206,0,1,1,Fake
user_138,203,10,14948,50,131569,34933,97,61553,32305,2539,0.061,1,0,1,Fake
user_139,156,45,7869,238,432258,49905,59,844621,13649,4878,0.054,0,1,1,Fake
user_140,382,47,12112,117,180753,22143,444,776764,23716,1616,0.072,0,1,1,Fake
user_141,165,41,26525,670,385584,47344,431,248782,42332,1654,0.24,1,0,1,Fake
user_142,552,24,12201,39,126233,31673,428,670139,19918,302,0.056,0,1,1,Fake
user_143,543,24,21656,188,278161,11658,128,30212,16590,3638,0.241,0,1,1,Fake
user_144,0,14,5615,700,3661,22501,283,150116,24423,4323,0.228,0,1,1,Real
user_145,331,16,17266,518,343325,25498,125,382558,14343,845,0.276,0,0,0,Fake
user_146,500,5,26182,881,466907,10989,170,141825,16671,906,0.005,1,1,1,Fake
user_147,19,27,20421,450,358367,37712,13,24437,21646,605,0.26,1,0,1,Fake
user_148,114,40,28890,593,131946,11262,260,637859,47484,3623,0.082,1,0,0,Fake
user_149,371,15,14212,324,147560,26453,435,275033,4298,873,0.085,0,1,1,Fake
user_150,314,33,28783,42,395468,38608,51,355432,18395,4700,0.175,1,0,0,Fake
user_151,245,48,23296,566,84548,14526,80,165758,24957,3466,0.096,1,0,1,Fake
user_152,59,39,2142,734,33896,45521,157,722007,42946,426,0.025,1,1,1,Fake
user_153,246,44,3882,233,32306,14566,180,209747,28123,299,0.261,1,1,1,Fake
user_154,580,43,4732,62,32916,22500,383,804669,35977,2277,0.099,1,0,1,Fake
user_155,80,17,28925,974,258957,34717,188,988553,35157,193,0.245,1,1,0,Fake
user_156,87,18,4285,731,180472,39841,121,482416,43428,1394,0.269,0,0,0,Real
user_157,497,41,26047,265,473271,44986,62,793747,27448,760,0.175,1,1,0,Fake
user_158,70,47,6214,998,384258,24251,95,389050,23195,2195,0.057,0,0,1,Fake
user_159,545,34,6281,263,31669,6699,369,596035,33692,2347,0.258,1,0,0,Fake
user_160,128,17,17450,16,324977,14650,434,490199,13017,2406,0.212,0,1,0,Fake
user_161,131,26,12392,694,396178,33061,451,729928,43663,705,0.068,0,1,1,Fake
user_162,486,12,22752,865,428712,6960,470,626477,48990,2921,0.044,1,1,1,Fake
user_163,562,4,12263,878,225493,36695,315,384479,17541,2737,0.053,1,0,0,Fake
user_164,169,11,10418,869,41917,46570,38,242499,33205,4848,0.205,1,0,0,Fake
user_165,271,8,19646,361,353388,25638,11,899120,12995,3464,0.124,0,1,0,Fake
user_166,540,18,14075,553,400783,24197,389,117559,19442,3667,0.158,0,1,0,Fake
user_167,433,7,20845,735,471146,23973,137,602383,36802,2288,0.1,0,1,0,Fake
user_168,216,40,8013,45,375447,1681,211,680806,48589,1863,0.279,1,1,1,Fake
user_169,552,29,1513,614,233796,42324,75,864424,14984,1903,0.099,1,1,1,Fake
user_170,205,39,25004,240,6290,32088,347,195740,43342,1911,0.033,0,0,1,Fake
user_171,319,28,20186,358,390211,34008,104,411485,23145,4251,0.007,0,0,1,Fake
user_172,408,17,19245,111,353632,17226,494,43683,42920,2482,0.216,1,1,0,Fake
user_173,382,44,6196,79,46258,25315,56,51945,35850,4625,0.091,0,0,0,Fake
user_174,448,39,27998,519,166932,36613,486,653557,28112,3335,0.257,0,0,1,Fake
user_175,529,31,17546,454,308354,21258,454,751417,41286,2805,0.196,1,1,1,Fake
user_176,462,12,9639,115,404428,1024,44,559358,10487,3064,0.019,1,1,1,Fake
user_177,123,20,25873,523,480422,39969,485,451289,27295,1325,0.213,0,1,0,Fake
user_178,253,1,4868,79,479449,21000,377,45086,32409,1874,0.163,1,1,1,Real
user_179,230,9,10737,242,189519,49544,408,139510,14144,4649,0.01,1,1,0,Fake
user_180,65,3,8099,208,365992,31966,251,904963,28454,892,0.095,1,1,1,Fake
user_181,346,34,1745,333,357082,44571,131,485981,25666,3932,0.015,0,1,1,Fake
user_182,21,1,20626,584,317459,18828,482,365761,19642,217,0.066,1,1,0,Fake
user_183,567,11,26070,380,355569,17151,408,961786,33920,1729,0.085,0,0,0,Fake
user_184,235,6,9177,849,34539,14693,337,854303,20525,1918,0.232,1,1,1,Fake
user_185,225,18,28601,842,298425,498,83,993549,15750,2950,0.217,1,0,0,Fake
user_186,7,17,4143,697,137592,12724,334,516944,10109,1997,0.067,1,1,0,Real
user_187,72,8,27902,425,381235,20094,247,979836,1920,10,0.125,1,0,1,Fake
user_188,60,45,16654,73,440257,41164,263,309619,43450,453,0.229,1,1,0,Fake
user_189,234,28,19139,657,167281,40840,90,693723,30193,2548,0.002,0,0,0,Fake
user_190,69,46,29027,436,236342,7862,227,337306,30982,4797,0.145,1,1,0,Fake
user_191,32,0,16023,896,187754,44264,405,270311,23915,4780,0.232,0,0,1,Fake
user_192,338,14,6856,289,389122,33574,148,850730,34375,1475,0.21,0,0,0,Fake
user_193,72,5,23832,146,425179,37811,284,286632,30867,3151,0.058,0,0,0,Fake
user_194,526,9,2667,25,251893,4883,338,660775,299,3311,0.21,0,1,1,Fake
user_195,243,0,25711,334,194219,7418,289,619221,33285,2850,0.016,0,1,1,Fake
user_196,285,31,15422,621,261984,31537,384,998054,39908,1756,0.173,0,1,0,Fake
user_197,497,13,25919,807,157415,39256,136,143720,19053,3161,0.162,0,1,0,Fake
user_198,219,21,21741,368,400248,31735,326,45974,15971,914,0.085,0,0,0,Fake
user_199,552,26,20148,343,256422,10801,187,334519,10424,3912,0.122,1,0,1,Fake
user_200,135,19,2125,998,164351,3072,294,299714,42627,3738,0.297,0,1,0,Fake
user_201,584,50,5486,417,286217,13051,174,783460,26772,1928,0.07,1,1,0,Fake
user_202,590,31,16666,918,390578,34179,374,583885,39982,850,0.279,1,0,1,Fake
user_203,484,23,12717,667,99764,46182,355,634362,36756,3722,0.01,0,1,1,Fake
user_204,248,29,24618,383,119596,21863,174,295190,14315,1773,0.194,1,0,0,Fake
user_205,484,44,28915,481,307877,38140,293,727172,43049,4652,0.029,0,1,1,Fake
user_206,416,50,21137,965,89418,15467,176,299172,42521,2485,0.139,1,0,1,Fake
user_207,194,2,24613,996,22386,17637,97,970697,16503,3502,0.249,0,0,0,Fake
user_208,96,21,16684,301,362212,2470,102,345377,19711,1267,0.224,1,1,1,Fake
user_209,99,5,12263,636,185018,5636,309,236064,15981,2236,0.132,1,0,0,Fake
user_210,441,48,16337,31,214817,23869,352,538752,47762,4149,0.033,1,1,0,Fake
user_211,362,9,17003,164,243764,13774,166,94962,28221,4057,0.055,1,1,1,Fake
user_212,433,3,15213,377,461360,25855,97,130396,39129,1247,0.211,0,1,0,Fake
user_213,420,17,5865,45,242032,20157,358,584516,45253,1606,0.262,1,1,0,Fake
user_214,478,49,10545,297,170062,5780,440,17081,22099,4588,0.051,0,0,0,Fake
user_215,55,25,23346,952,484151,21315,187,661254,35099,2858,0.27,1,0,1,Fake
user_216,100,4,12251,153,417465,19244,81,588313,2075,4309,0.25,1,1,1,Fake
user_217,62,34,17218,933,443800,29732,374,126642,23332,3081,0.067,0,0,0,Fake
user_218,412,30,22757,605,495563,7046,449,753261,1558,2699,0.064,0,0,0,Fake
user_219,347,11,15836,26,211414,21415,170,574644,47451,1995,0.273,0,1,1,Fake
user_220,111,12,23450,108,243072,21480,61,624157,20027,1256,0.246,0,0,0,Fake
user_221,254,16,16213,623,455439,13257,217,408199,20914,3925,0.223,1,0,0,Fake
user_222,196,24,15524,216,471381,7026,69,364758,3904,3178,0.028,1,0,0,Fake
user_223,194,0,8792,827,243475,14194,267,659816,23670,4533,0.193,1,0,1,Fake
user_224,549,7,19044,320,237070,47771,177,367411,47233,3712,0.254,0,0,0,Fake
user_225,459,49,13138,523,80050,11371,260,555108,2089,757,0.112,1,1,1,Fake
user_226,143,45,20909,732,74492,23993,198,221628,39051,2136,0.159,0,1,1,Fake
user_227,432,15,25907,799,386850,40591,324,297159,11460,640,0.136,0,0,1,Fake
user_228,187,24,19135,759,393505,14055,53,929368,34865,1977,0.182,1,0,0,Fake
user_229,285,49,21290,520,202146,27491,239,879721,17638,2240,0.112,1,0,1,Fake
user_230,473,28,1199,802,219989,31185,44,886327,26272,4722,0.106,1,0,0,Fake
user_231,255,15,6789,595,497881,47699,38,296736,30374,1644,0.028,1,0,0,Real
user_232,77,47,7193,729,12834,34375,182,799108,10825,1018,0.286,1,1,0,Fake
user_233,453,2,29323,352,457893,6381,479,346209,48025,3945,0.071,0,1,1,Fake
user_234,563,12,6651,962,73102,15607,36,417476,536,4988,0.207,1,1,1,Fake
user_235,100,29,14813,220,413278,27934,280,425873,3351,3199,0.169,0,1,0,Fake
user_236,51,47,28284,387,166054,29316,446,164521,30007,3607,0.009,0,0,0,Fake
user_237,553,49,7680,850,199993,20795,336,909069,12915,273,0.21,1,0,1,Fake
user_238,15,6,12972,596,456261,3001,34,176028,18373,3526,0.294,0,1,0,Fake
user_239,95,33,7162,33,331451,1052,195,626123,11286,48,0.206,1,0,0,Fake
user_240,242,42,10026,672,78320,40682,167,832781,49686,2992,0.216,0,1,0,Fake
user_241,170,13,13927,743,209410,17416,316,719143,39551,2980,0.268,1,1,1,Fake
user_242,416,30,29121,153,191737,9809,57,389016,49708,4581,0.177,0,1,0,Fake
user_243,497,24,12356,390,7313,45686,142,156665,12854,829,0.232,1,1,0,Fake
user_244,492,43,18722,780,227740,42160,239,129339,37168,3913,0.182,0,0,1,Fake
user_245,218,19,5151,664,414908,7150,242,517287,2993,1875,0.164,0,0,0,Real
user_246,410,20,27604,80,428555,18578,167,646479,45674,2616,0.074,0,0,1,Fake
user_247,60,10,12258,978,346959,5710,147,519088,30634,3788,0.195,1,1,0,Fake
user_248,168,40,8340,79,474670,2306,251,54875,29283,4976,0.146,0,0,0,Fake
user_249,388,46,18040,981,90586,23190,127,330193,14894,1026,0.064,0,1,1,Fake
user_250,2,2,2777,957,79187,11621,401,733385,48385,970,0.267,1,1,1,Fake
user_251,399,47,4401,229,310869,29925,197,427191,32114,994,0.086,0,1,0,Fake
user_252,271,35,24629,578,495998,25095,336,398339,9298,3183,0.15,1,0,0,Fake
user_253,465,33,2753,515,96421,40351,119,12658,38685,1116,0.156,1,1,1,Fake
user_254,292,7,9668,588,113767,34682,192,246136,20626,2777,0.214,1,0,1,Real
user_255,433,16,14565,645,49726,7996,405,851042,17671,200,0.077,1,1,0,Fake
user_256,569,30,17000,561,8592,45618,82,428226,41611,3221,0.09,1,0,1,Fake
user_257,498,40,11520,751,205149,38779,162,107530,22633,4812,0.116,1,0,0,Fake
user_258,158,19,7542,428,247615,34322,234,850248,43709,4565,0.211,1,1,0,Fake
user_259,194,12,19135,551,78590,30991,457,440400,41214,1539,0.24,0,0,1,Fake
user_260,303,23,1348,750,142024,36797,280,881177,44933,3039,0.089,1,0,1,Fake
user_261,222,3,15245,124,176850,3941,384,146318,313,2154,0.298,0,1,0,Fake
user_262,59,42,16785,867,103681,39653,390,324635,15839,3220,0.106,1,1,1,Fake
user_263,593,13,20353,899,11366,48005,446,568077,36846,2476,0.045,1,1,0,Fake
user_264,555,7,11022,540,260740,8626,384,443607,1872,3282,0.222,1,1,0,Fake
user_265,62,15,13962,817,205642,49660,161,31964,4157,1709,0.171,1,1,1,Fake
user_266,321,40,14783,52,83003,31327,67,469389,27637,4854,0.279,0,1,0,Fake
user_267,58,27,15320,621,159133,440,436,10994,9024,4383,0.111,0,1,0,Fake
user_268,51,20,14172,483,435042,17804,414,310727,21959,4882,0.006,0,0,0,Fake
user_269,598,0,13400,675,447644,23657,442,470715,36640,3668,0.149,0,0,1,Fake
user_270,488,10,12042,537,288006,8504,246,905647,23013,127,0.282,1,0,0,Fake
user_271,514,50,26362,532,145578,15401,70,671452,7204,832,0.115,1,1,1,Fake
user_272,543,17,16303,451,119400,33702,192,161756,23222,2424,0.111,0,1,0,Fake
user_273,161,37,10388,324,99586,34523,307,794578,2519,2684,0.173,1,1,0,Fake
user_274,58,7,8946,275,255084,36556,163,442078,44340,2954,0.118,0,0,0,Real
user_275,520,25,12529,199,318151,22827,369,945603,8693,3981,0.261,1,1,0,Fake
user_276,82,50,809,856,379442,26358,422,966268,45162,40,0.141,1,0,1,Fake
user_277,190,15,5884,589,261691,10668,302,425831,45691,1890,0.264,0,1,0,Real
user_278,70,0,14473,300,226941,8968,245,16814,41682,4909,0.096,0,1,0,Fake
user_279,69,2,7660,932,228121,21685,112,137449,318,1944,0.044,0,1,1,Fake
user_280,240,37,8703,249,496674,36530,143,206297,19654,2052,0.283,1,1,0,Fake
user_281,413,50,21146,336,446482,28059,158,370482,22511,1083,0.055,0,1,0,Fake
user_282,122,44,2486,248,83792,27268,443,838626,1517,3894,0.033,0,0,0,Fake
user_283,583,30,11766,818,255507,3825,471,65942,43118,811,0.198,1,0,1,Fake
user_284,252,44,29539,786,349065,21263,318,383749,12123,4431,0.048,1,0,0,Fake
user_285,592,38,2700,1000,31331,38244,114,528448,36852,3236,0.008,1,1,0,Fake
user_286,40,9,9650,370,185267,33190,28,382904,6174,3256,0.039,1,1,1,Real
user_287,83,23,27610,236,55580,27231,180,28493,20424,4777,0.28,1,1,0,Fake
user_288,429,49,16441,466,35078,49433,128,74455,13744,1236,0.189,1,0,1,Fake
user_289,597,5,16803,322,499620,29476,260,392648,22506,2966,0.115,1,0,1,Fake
user_290,578,15,17912,766,169493,35318,271,208716,14875,2639,0.222,1,1,1,Fake
user_291,535,10,21091,995,370159,28980,283,713970,4242,1033,0.288,0,1,0,Fake
user_292,323,31,2561,118,249928,18319,25,4580,9127,4950,0.036,0,0,0,Fake
user_293,267,5,25751,709,318671,19572,123,71147,30408,448,0.131,1,0,1,Fake
user_294,209,43,9057,246,151687,10983,109,462651,39100,2697,0.258,0,1,0,Fake
user_295,321,39,7462,455,74175,9058,73,241591,17355,195,0.006,0,1,0,Fake
user_296,244,21,3224,750,123287,32290,281,712392,44812,1422,0.035,1,1,0,Fake
user_297,271,48,3885,980,271981,46275,121,761093,45001,3190,0.297,0,1,0,Fake
user_298,405,40,2337,901,494580,22143,225,665644,44062,439,0.266,1,0,1,Fake
user_299,134,3,11804,419,259119,33437,52,997329,44862,58,0.236,1,0,1,Fake
user_300,307,3,1254,370,421329,22104,457,94546,15239,392,0.131,1,1,1,Fake
user_301,468,22,17892,81,113457,48549,413,443715,14666,657,0.001,0,1,0,Fake
user_302,323,41,6563,360,218284,43864,45,521195,49191,910,0.195,0,1,0,Fake
user_303,74,9,10936,573,257166,18324,362,848259,32209,453,0.177,0,1,0,Fake
user_304,9,44,6443,517,6798,35477,112,98450,40661,681,0.253,0,1,1,Fake
user_305,469,34,22121,78,161484,41430,132,331385,49704,2676,0.001,1,1,0,Fake
user_306,576,50,10788,936,331092,22251,432,443806,21666,3474,0.167,0,0,0,Fake
user_307,102,6,8192,370,83153,48030,339,56590,12326,604,0.196,1,1,1,Real
user_308,75,8,9919,669,177513,38556,276,363710,5155,3401,0.015,1,1,0,Real
user_309,550,31,24419,495,330542,27653,480,552137,47287,576,0.262,0,0,1,Fake
user_310,218,14,26724,619,162850,23836,317,461412,47505,4795,0.298,1,0,1,Fake
user_311,518,20,25181,235,358643,20796,103,599871,6590,3765,0.15,1,1,1,Fake
user_312,271,35,22398,459,324261,46705,228,64842,7318,1577,0.122,1,0,0,Fake
